reviews,reviews_clean,labels,labels_name
NOT WHAT I WANTED.,not wanted,0,Bad
I own 2 of these cases and would order another.,case would order another,1,Good
Great Phone.,great phone,1,Good
I bought this battery with a coupon from Amazon and I'm very happy with my purchase.,bought thi batteri coupon amazon veri happi purchase,1,Good
"The internet access was fine, it the rare instance that it worked.",internet access wa fine rare instanc worked,0,Bad
Perfect for the PS3.,perfect ps,1,Good
"Five star Plus, plus.",five star plus plus,1,Good
A good quality bargain.. I bought this after I bought a cheapy from Big Lots that sounded awful and people on the other end couldn't hear me.,good qualiti bargain bought thi bought cheapi big lot sound aw peopl end could not hear,1,Good
$50 Down the drain.,drain,0,Bad
I tried talking real loud but shouting on the telephone gets old and I was still told it wasn't great.,tri talk real loud shout telephon get old wa still told wa not great,0,Bad
"Good , works fine.",good work fine,1,Good
For the price this was a great deal.,price thi wa great deal,1,Good
"Great price, too!",great price,1,Good
"If there is a wind, it is completely useless.",wind complet useless,0,Bad
Yes it's shiny on front side - and I love it!,ye shini front side love,1,Good
Does Not Work.,doe not work,0,Bad
"At first I thought I was grtting a good deal at $7.44, until I plugged it into my phone (V3c Razr).",first thought wa grtting good deal plug phone vc razr,0,Bad
The reception through this headset is excellent.,recept thi headset excellent,1,Good
2 thumbs up to this seller,thumb thi seller,1,Good
"I have a Verizon LG phone and they work well together, good reception and range that exceeds 20 feet line of sight.",verizon lg phone work well together good recept rang exce feet line sight,1,Good
Improper description.... I had to return it.,improp description return,0,Bad
#1 It Works - #2 It is Comfortable.,work comfortable,1,Good
Battery charge-life is quite long.,batteri chargelif quit long,1,Good
The Jabra EarGels fit my ears very well.,jabra eargel fit ear veri well,1,Good
Battery has no life.,batteri ha no life,0,Bad
I checked everywhere and there is no feature for it which is really disappointing.,check everywher no featur realli disappointing,0,Bad
Product is exactly as described.,product exactli described,1,Good
Gets a signal when other Verizon phones won't.,get signal verizon phone not,1,Good
Doesn't do the job.,doe not job,0,Bad
I would recommend it.,would recommend,1,Good
Plan on ordering from them again and again.,plan order,1,Good
"That being said, for a phone, the camera is very nice; many cool effects to play with, and video is decent as well.",said phone camera veri nice mani cool effect play video decent well,1,Good
I have been very satisfied with this cell phone from day one.,veri satisfi thi cell phone day one,1,Good
They keep getting better and better (this is my third one and I've had numerous Palms too).,keep get better better thi third one numer palm,1,Good
Awkward to use and unreliable.,awkward use unreliable,0,Bad
The shipping time was also very quick!,ship time wa also veri quick,1,Good
Not as good as I had hoped.,not good hoped,0,Bad
Good case!.,good case,1,Good
Doesn't Work.,doe not work,0,Bad
Really good product.,realli good product,1,Good
Unfortunately it did not work.,unfortun not work,0,Bad
All three broke within two months of use.,three broke within two month use,0,Bad
dont buy it.,dont buy,0,Bad
"My father has the V265, and the battery is dying.",father ha v batteri dying,0,Bad
"However, the ear pads come off easily and after only one week I lost one.",however ear pad come easili onli one week lost one,0,Bad
"The calls drop, the phone comes on and off at will, the screen goes black and the worst of all it stops ringing intermittently.",call drop phone come screen goe black worst stop ring intermittently,0,Bad
"Horrible, horrible protector.",horrible horribl protector,0,Bad
I don't like this Nokia either.,not like thi nokia either,0,Bad
"Reaching for the bottom row is uncomfortable, and the send and end keys are not where I expect them to be.3.",reach bottom row uncomfortable send end key not expect,0,Bad
I have bought this Nokia cell phone a few weeks ago and it was a nightmare.,bought thi nokia cell phone week ago wa nightmare,0,Bad
It would take too long to describe how bad my customer service experience has been with Amazon.,would take long describ bad custom servic experi ha amazon,0,Bad
the only VERY DISAPPOINTING thing was there was NO SPEAKERPHONE!!!!,onli veri disappoint thing wa wa no speakerphone,0,Bad
Terrible.. My car will not accept this cassette.,terrible car not accept thi cassette,0,Bad
"Product is useless, since it does not have enough charging current to charge the 2 cellphones I was planning to use it with.",product useless sinc doe not enough charg current charg cellphon wa plan use,0,Bad
It's not what it says it is.,not say,0,Bad
Stay Away From the Q!.,stay away q,0,Bad
Used and dirty.,use dirty,0,Bad
Very unreliable service from T-mobile !,veri unreli servic tmobil,0,Bad
Not good enough for the price.,not good enough price,0,Bad
I bought two of them and neither will charge.,bought two neither charge,0,Bad
It looks very nice.,look veri nice,1,Good
"This is an excellent tool, especially when paired with your phone's auto-answer.",thi excel tool especi pair phone autoanswer,1,Good
I have read other's reviews here but I haven't had any problem with it.,read review not ani problem,1,Good
These products cover up the important light sensor above the ear outlet.,product cover import light sensor abov ear outlet,0,Bad
Comfortable in my hand.,comfort hand,1,Good
Just does not work.,doe not work,0,Bad
Poor Reliability.,poor reliability,0,Bad
(It works!),works,1,Good
"If I take a picture, the battery drops a bar, and starts beeping, letting me know its dieing.",take picture batteri drop bar start beeping let know dieing,0,Bad
"Terrible product, and waste of money!",terribl product wast money,0,Bad
Last time buying from you.,last time buy,0,Bad
It was a waste of my money.,wa wast money,0,Bad
So far it has worked like a charm.,far ha work like charm,1,Good
"I have only had it for a few weeks, but so far, so good.",onli weeks far good,1,Good
"But, in any case, the best part is, you can download these pictures to your laptop using IR, or even send pictures from your laptop to the phone.",ani case best part download pictur laptop use ir even send pictur laptop phone,1,Good
Would recommend this item.,would recommend thi item,1,Good
It's been my choice headset for years.Great sound; good volume; good noise cancellation.,choic headset years great sound good volume good nois cancellation,1,Good
"Nice case, feels good in your hands.",nice case feel good hands,1,Good
The item received was Counterfeit.,item receiv wa counterfeit,0,Bad
"Just really good.. So far, probably the best BT headset I have ever had.",realli good far probabl best bt headset ever,1,Good
Works fine.,work fine,1,Good
I received my headset in good time and was happy with it.,receiv headset good time wa happi,1,Good
I was very pleased to see that I could replace my well travled swivel holster for my Blackberry flip.,wa veri pleas see could replac well travl swivel holster blackberri flip,1,Good
My sister has one also and she loves it.,sister ha one also love,1,Good
Good Quality.,good quality,1,Good
This is by far the worst purchase I've made on Amazon.,thi far worst purchas made amazon,0,Bad
Excellent dual-purpose headset.,excel dualpurpos headset,1,Good
Excellent!.,excellent,1,Good
Does not work for listening to music with the cingular 8125.,doe not work listen music cingular,0,Bad
"It seems completely secure, both holding on to my belt, and keeping the iPhone inside.",seem complet secure hold belt keep iphon inside,1,Good
"The bottowm line...another worthless, cheap gimmick from Sprint.",bottowm line anoth worthless cheap gimmick sprint,0,Bad
Having trouble with volume.,troubl volume,0,Bad
The only good thing was that it fits comfortably on small ears.,onli good thing wa fit comfort small ears,1,Good
WARNING - DO NOT BUY!!.,warn not buy,0,Bad
"I am pairing this with my iphone, and I could not be happier with it so far.",pair thi iphone could not happier far,1,Good
"When it opens, the battery connection is broken and the device is turned off.",opens batteri connect broken devic turn,0,Bad
"I didn't want the clip going over the top of my ear, causing discomfort.",not want clip go top ear caus discomfort,0,Bad
Best headset ever!!!.,best headset ever,1,Good
Don't trust their website and don't expect any helpful support.,not trust websit not expect ani help support,0,Bad
It was that loud.Glad to say that the Plantronics 510 maintains a flawless connection to my cell and with no static during normal use.,wa loud glad say plantron maintain flawless connect cell no static dure normal use,1,Good
The speaker is of low quality so as making the ring tones sound very cheap.,speaker low qualiti make ring tone sound veri cheap,0,Bad
"Fits comfortably, came with three sizes of earbud tips.",fit comfortably came three size earbud tips,1,Good
Excellent product for the price.,excel product price,1,Good
Bad Reception.,bad reception,0,Bad
This product is very High quality Chinese CRAP!!!!!!,thi product veri high qualiti chines crap,0,Bad
It was quite comfortable in the ear.,wa quit comfort ear,1,Good
Great phone.,great phone,1,Good
Don't buy this product - It fails!.,not buy thi product fails,0,Bad
Everything about this product is wrong.First,everyth thi product wrong first,0,Bad
The pairing of the two devices was so easy it barely took a couple minutes before I started making calls with the voice dialing feature.,pair two devic wa easi bare took coupl minut befor start make call voic dial feature,1,Good
"This was utterly confusing at first, which caused me to lose a couple of very, very important contacts.",thi wa utterli confus first caus lose coupl veri import contacts,0,Bad
Terrible phone holder.,terribl phone holder,0,Bad
The cutouts and buttons are placed perfectly.,cutout button place perfectly,1,Good
I love being able to use one headset for both by land-line and cell.,love abl use one headset landlin cell,1,Good
Problem is that the ear loops are made of weak material and break easily.,problem ear loop made weak materi break easily,0,Bad
Not nearly as good looking as the AMAZON picture makes it look.,not nearli good look amazon pictur make look,0,Bad
"But despite these few flaws, this case is of exceptional quality and well worth the additional costs of owning an official OEM product.",despit flaws thi case except qualiti well worth addit cost offici oem product,1,Good
How stupid is that?,stupid,0,Bad
"I can hear while I'm driving in the car, and usually don't even have to put it on it's loudest setting.",hear drive car usual not even put loudest setting,1,Good
Seller shipped quickly and much cheaper than the competitors.,seller ship quickli much cheaper competitors,1,Good
"Good show, Samsung.",good show samsung,1,Good
So I bought about 10 of these and saved alot of money.,bought save alot money,1,Good
It always cuts out and makes a beep beep beep sound then says signal failed.,alway cut make beep beep beep sound say signal failed,0,Bad
Couldn't figure it out,could not figur,0,Bad
"My phone sounded OK ( not great - OK), but my wife's phone was almost totally unintelligible, she couldn't understand a word being said on it.",phone sound ok not great ok wife phone wa almost total unintelligible could not understand word said,0,Bad
So I had to take the battery out of the phone put it all back together and then restart it.,take batteri phone put back togeth restart,0,Bad
"While I managed to bend the leaf spring back in place, the metal now has enough stress that it will break on the next drop.",manag bend leaf spring back place metal ha enough stress break next drop,0,Bad
Leopard Print is wonderfully wild!.,leopard print wonder wild,1,Good
Works for me.,work,1,Good
"Saggy, floppy piece of junk.",saggy floppi piec junk,0,Bad
much better than the hard plastic cases.,much better hard plastic cases,1,Good
It also had a new problem.,also new problem,0,Bad
Happy so far!.,happi far,1,Good
cool phone.,cool phone,1,Good
Works good.,work good,1,Good
Motorola finally got the voice quality of a bluetooth headset right.,motorola final got voic qualiti bluetooth headset right,1,Good
It looses connection to the phone even when it is within a couple feet between the two.,loos connect phone even within coupl feet two,0,Bad
"but it is great, i would really recommend it",great would realli recommend,1,Good
Makes it easier to keep up with my bluetooth when I'm not wearing it.,make easier keep bluetooth not wear,0,Bad
As I said above....PRETTY USELESS!,said pretti useless,0,Bad
Never got it!!!!!,never got,0,Bad
This pair of headphones is the worst that I have ever had sound-wise.,thi pair headphon worst ever soundwise,0,Bad
[...] down the drain because of a weak snap!,drain becaus weak snap,0,Bad
Does not charge the Cingular (ATT) 8525 phone.,doe not charg cingular att phone,0,Bad
"You get extra minutes so that you can carry out the call and not get cut off.""",get extra minut carri call not get cut,1,Good
"However, after about a year, the fliptop started to get loose and wobbly and eventually my screen went black and I couldn't receive and place calls.",however year fliptop start get loos wobbl eventu screen went black could not receiv place calls,0,Bad
I kept catching the cable on the seat and I had to pull the phone out to turn it on an off.,kept catch cabl seat pull phone turn,0,Bad
The headset fulfills my requirements so I am happy with my purchase.,headset fulfil requir happi purchase,1,Good
Logitech Bluetooth Headset is a 10!.,logitech bluetooth headset,1,Good
"I like the fact that it rests lightly against your ear, rather than inside.",like fact rest lightli ear rather inside,1,Good
A lot of websites have been rating this a very good phone and so do I.,lot websit rate thi veri good phone,1,Good
I have tried these cables with my computer and my iPod and it works just fine.,tri cabl comput ipod work fine,1,Good
"The mic there is a joke, and the volume is quite low.",mic joke volum quit low,0,Bad
I'm returning them.,return,0,Bad
I does not maintain a connection with the computer while it is on my lap.,doe not maintain connect comput lap,0,Bad
It is easy to turn on and off when you are in the car and the volume controls are quite accessable.,easi turn car volum control quit accessable,1,Good
I have had mine for about a year and this Christmas I bought some for the rest of the family.,mine year thi christma bought rest family,1,Good
"Otherwise, easy to install and use, clear sound.",otherwise easi instal use clear sound,1,Good
nice leather.,nice leather,1,Good
I had to purchase a different case.,purchas differ case,0,Bad
It is a joy to use.,joy use,1,Good
Very much disappointed with this company.,veri much disappoint thi company,0,Bad
Very satisifed with that.,veri satisif,1,Good
It didn't charge for me.,not charg,0,Bad
This is the phone to get for 2005.... I just bought my S710a and all I can say is WOW!,thi phone get bought sa say wow,1,Good
Buttons are too small.,button small,0,Bad
Just reading on the specs alone makes you say WOW.,read spec alon make say wow,1,Good
Love it.. Great armband.,love great armband,1,Good
I really like this product over the Motorola because it is allot clearer on the ear piece and the mic.,realli like thi product motorola becaus allot clearer ear piec mic,1,Good
"However, the keypads are so tinny that I sometimes reach the wrong buttons.",however keypad tinni sometim reach wrong buttons,0,Bad
I exchanged the sony ericson z500a for this and I'm pretty happy with that decision.,exchang soni ericson za thi pretti happi decision,1,Good
I was very impressed with the price of the cases.,wa veri impress price cases,1,Good
Also makes it easier to hold on to.,also make easier hold,1,Good
"I use this product in a motor control center where there is a lot of high voltage humming from the equipment, and it works great!",use thi product motor control center lot high voltag hum equipment work great,1,Good
It's pretty easy.,pretti easy,1,Good
I cannot make calls at certain places.,cannot make call certain places,0,Bad
"however, my girl was complain that some time the phone doesn't wake up like normal phone does.",however girl wa complain time phone doe not wake like normal phone,0,Bad
Beautiful styling though.,beauti style though,1,Good
This company charge me a restocking fee and still not given me my refund back.,thi compani charg restock fee still not given refund back,0,Bad
I'm trying to return it for a refund.,tri return refund,0,Bad
I plugged it in only to find out not a darn thing worked.,plug onli find not darn thing worked,0,Bad
Excellent product.,excel product,1,Good
Earbud piece breaks easily.,earbud piec break easily,0,Bad
Lousy product.,lousi product,0,Bad
This phone tries very hard to do everything but fails at it's very ability to be a phone.,thi phone tri veri hard everyth fail veri abil phone,0,Bad
It is the best charger I have seen on the market yet.,best charger seen market yet,1,Good
SWEETEST PHONE!!!,sweetest phone,1,Good
":-)Oh, the charger seems to work fine.",oh charger seem work fine,1,Good
It fits so securely that the ear hook does not even need to be used and the sound is better directed through your ear canal.,fit secur ear hook doe not even need use sound better direct ear canal,1,Good
Not enough volume.,not enough volume,0,Bad
Echo Problem....Very unsatisfactory,echo problem veri unsatisfactori,0,Bad
you could only take 2 videos at a time and the quality was very poor.,could onli take video time qualiti wa veri poor,0,Bad
don't waste your money.,not wast money,0,Bad
I am going to have to be the first to negatively review this product.,go first neg review thi product,0,Bad
Adapter does not provide enough charging current.,adapt doe not provid enough charg current,0,Bad
"There was so much hype over this phone that I assumed it was the best, my mistake.",wa much hype thi phone assum wa best mistake,0,Bad
You also cannot take pictures with it in the case because the lense is covered.,also cannot take pictur case becaus lens covered,0,Bad
Phone falls out easily.,phone fall easily,0,Bad
"It didn't work, people can not hear me when I talk.",not work peopl not hear talk,0,Bad
The text messaging feature is really tricky to use.,text messag featur realli tricki use,0,Bad
I'm really disappointed all I have now is a charger that doesn't work.,realli disappoint charger doe not work,0,Bad
Painful on the ear.,pain ear,0,Bad
Lasted one day and then blew up.,last one day blew,0,Bad
disappointed.,disappointed,0,Bad
Kind of flops around.,kind flop around,0,Bad
The screen does get smudged easily because it touches your ear and face.,screen doe get smudg easili becaus touch ear face,0,Bad
What a piece of junk.. I lose more calls on this phone.,piec junk lose call thi phone,0,Bad
Item Does Not Match Picture.,item doe not match picture,0,Bad
The only thing that disappoint me is the infra red port (irda).,onli thing disappoint infra red port irda,0,Bad
"You can not answer calls with the unit, never worked once!",not answer call unit never work,0,Bad
"A very, very, very slow-moving, aimless movie about a distressed, drifting young man.  ",veri slowmoving aimless movi distressed drift young man,0,Bad
"Not sure who was more lost - the flat characters or the audience, nearly half of whom walked out.  ",not sure wa lost flat charact audience nearli half walk,0,Bad
"Attempting artiness with black & white and clever camera angles, the movie disappointed - became even more ridiculous - as the acting was poor and the plot and lines almost non-existent.  ",attempt arti black white clever camera angles movi disappoint becam even ridicul act wa poor plot line almost nonexistent,0,Bad
Very little music or anything to speak of.  ,veri littl music anyth speak,0,Bad
The best scene in the movie was when Gerardo is trying to find a song that keeps running through his head.  ,best scene movi wa gerardo tri find song keep run hi head,1,Good
"The rest of the movie lacks art, charm, meaning... If it's about emptiness, it works I guess because it's empty.  ",rest movi lack art charm meaning emptiness work guess becaus empty,0,Bad
Wasted two hours.  ,wast two hours,0,Bad
"Saw the movie today and thought it was a good effort, good messages for kids.  ",saw movi today thought wa good effort good messag kids,1,Good
A bit predictable.  ,bit predictable,0,Bad
Loved the casting of Jimmy Buffet as the science teacher.  ,love cast jimmi buffet scienc teacher,1,Good
And those baby owls were adorable.  ,babi owl adorable,1,Good
"The movie showed a lot of Florida at it's best, made it look very appealing.  ",movi show lot florida best made look veri appealing,1,Good
The Songs Were The Best And The Muppets Were So Hilarious.  ,song best muppet hilarious,1,Good
It Was So Cool.  ,wa cool,1,Good
This is a very right on case movie that delivers everything almost right in your face.  ,thi veri right case movi deliv everyth almost right face,1,Good
"It had some average acting from the main person, and it was a low budget as you clearly can see.  ",averag act main person wa low budget clearli see,0,Bad
"This review is long overdue, since I consider A Tale of Two Sisters to be the single greatest film ever made.  ",thi review long overdue sinc consid tale two sister singl greatest film ever made,1,Good
"I'll put this gem up against any movie in terms of screenplay, cinematography, acting, post-production, editing, directing, or any other aspect of film-making.  ",put thi gem ani movi term screenplay cinematography acting postproduction editing directing ani aspect filmmaking,1,Good
It's practically perfect in all of them  a true masterpiece in a sea of faux masterpieces.  ,practic perfect true masterpiec sea faux masterpieces,1,Good
 The structure of this film is easily the most tightly constructed in the history of cinema.  ,structur thi film easili tightli construct histori cinema,1,Good
I can think of no other film where something vitally important occurs every other minute.  ,think no film someth vital import occur everi minute,1,Good
"In other words, the content level of this film is enough to easily fill a dozen other films.  ",words content level thi film enough easili fill dozen films,1,Good
How can anyone in their right mind ask for anything more from a movie than this?  ,anyon right mind ask anyth movi,1,Good
"It's quite simply the highest, most superlative form of cinema imaginable.  ",quit simpli highest superl form cinema imaginable,1,Good
"Yes, this film does require a rather significant amount of puzzle-solving, but the pieces fit together to create a beautiful picture.  ",yes thi film doe requir rather signific amount puzzlesolving piec fit togeth creat beauti picture,1,Good
This short film certainly pulls no punches.  ,thi short film certainli pull no punches,0,Bad
Graphics is far from the best part of the game.  ,graphic far best part game,0,Bad
This is the number one best TH game in the series.  ,thi number one best th game series,1,Good
It deserves strong love.  ,deserv strong love,1,Good
It is an insane game.  ,insan game,1,Good
"There are massive levels, massive unlockable characters... it's just a massive game.  ",massiv levels massiv unlock characters massiv game,1,Good
Waste your money on this game.  ,wast money thi game,1,Good
This is the kind of money that is wasted properly.  ,thi kind money wast properly,1,Good
"Actually, the graphics were good at the time.  ",actually graphic good time,1,Good
Today the graphics are crap.  ,today graphic crap,0,Bad
"As they say in Canada, This is the fun game, aye.  ",say canada thi fun game aye,1,Good
This game rocks.  ,thi game rocks,1,Good
"Buy it, play it, enjoy it, love it.  ",buy play enjoy love,1,Good
It's PURE BRILLIANCE.  ,pure brilliance,1,Good
This was a flick doomed from its conception.  ,thi wa flick doom conception,0,Bad
"The very idea of it was lame - take a minor character from a mediocre PG-13 film, and make a complete non-sequel while changing its tone to a PG-rated family movie.  ",veri idea wa lame take minor charact mediocr pg film make complet nonsequel chang tone pgrate famili movie,0,Bad
I wasn't the least bit interested.  ,wa not least bit interested,0,Bad
"Not only did it only confirm that the film would be unfunny and generic, but it also managed to give away the ENTIRE movie; and I'm not exaggerating - every moment, every plot point, every joke is told in the trailer.  ",not onli onli confirm film would unfunni generic also manag give away entir movie not exagger everi moment everi plot point everi joke told trailer,0,Bad
But it's just not funny.  ,not funny,0,Bad
But even the talented Carrell can't save this.  ,even talent carrel cannot save,0,Bad
"His co-stars don't fare much better, with people like Morgan Freeman, Jonah Hill, and Ed Helms just wasted.  ",hi costar not fare much better peopl like morgan freeman jonah hill ed helm wasted,0,Bad
The story itself is just predictable and lazy.  ,stori predict lazy,0,Bad
"The only real effects work is the presence of all the animals, and the integration of those into the scenes is some of the worst and most obvious blue/green-screen work I've ever seen.  ",onli real effect work presenc animals integr scene worst obviou bluegreenscreen work ever seen,0,Bad
"But whatever it was that cost them so much, it didn't translate to quality, that's for sure.  ",whatev wa cost much not translat quality sure,0,Bad
"The film succeeds despite, or perhaps because of, an obviously meagre budget.  ",film succe despite perhap becaus obvious meagr budget,1,Good
"I'm glad the film didn't go for the most obvious choice, as a lesser film certainly would have.  ",glad film not go obviou choice lesser film certainli would,1,Good
"In addition to having one of the most lovely songs ever written, French Cancan also boasts one of the cutest leading ladies ever to grace the screen.  ",addit one love song ever written french cancan also boast one cutest lead ladi ever grace screen,1,Good
It's hard not to fall head-over-heels in love with that girl.  ,hard not fall headoverheel love girl,1,Good
"On the negative, it's insipid enough to cause regret for another 2 hours of life wasted in front of the screen.  ",negative insipid enough caus regret anoth hour life wast front screen,0,Bad
"Long, whiny and pointless.  ",long whini pointless,0,Bad
"But I recommend waiting for their future efforts, let this one go.  ",recommend wait futur efforts let thi one go,0,Bad
"Excellent cast, story line, performances.  ",excel cast stori line performances,1,Good
Totally believable.  ,total believable,1,Good
Anne Heche was utterly convincing.  ,ann hech wa utterli convincing,1,Good
Sam Shepard's portrayal of a gung ho Marine was sobering.  ,sam shepard portray gung ho marin wa sobering,1,Good
I sat riveted to the TV screen.  ,sat rivet tv screen,1,Good
All in all I give this one a resounding 9 out of 10.  ,give thi one resound,1,Good
I do think Tom Hanks is a good actor.  ,think tom hank good actor,1,Good
I enjoyed reading this book to my children when they were little.  ,enjoy read thi book children little,1,Good
I was very disappointed in the movie.  ,wa veri disappoint movie,0,Bad
One character is totally annoying with a voice that gives me the feeling of fingernails on a chalkboard.  ,one charact total annoy voic give feel fingernail chalkboard,0,Bad
There is a totally unnecessary train/roller coaster scene.  ,total unnecessari trainrol coaster scene,0,Bad
There was absolutely no warmth or charm to these scenes or characters.  ,wa absolut no warmth charm scene characters,0,Bad
This movie totally grates on my nerves.  ,thi movi total grate nerves,0,Bad
"The performances are not improved by improvisation, because the actors now have twice as much to worry about: not only whether they're delivering the line well, but whether the line itself is any good.  ",perform not improv improvisation becaus actor twice much worri not onli whether deliv line well whether line ani good,0,Bad
"And, quite honestly, often its not very good.  ",quit honestly often not veri good,0,Bad
"Often the dialogue doesn't really follow from one line to another, or fit the surroundings.  ",often dialogu doe not realli follow one line another fit surroundings,0,Bad
"It crackles with an unpredictable, youthful energy - but honestly, i found it hard to follow and concentrate on it meanders so badly.  ",crackl unpredictable youth energi honestly found hard follow concentr meander badly,0,Bad
There are some generally great things in it.  ,gener great thing,1,Good
"I wouldn't say they're worth 2 hours of your time, though.  ",would not say worth hour time though,0,Bad
"The suspense builders were good, & just cross the line from G to PG.  ",suspens builder good cross line g pg,1,Good
"I especially liked the non-cliche choices with the parents; in other movies, I could predict the dialog verbatim, but the writing in this movie made better selections.  ",especi like nonclich choic parents movies could predict dialog verbatim write thi movi made better selections,1,Good
"If you want a movie that's not gross but gives you some chills, this is a great choice.  ",want movi not gross give chills thi great choice,1,Good
Alexander Nevsky is a great film.  ,alexand nevski great film,1,Good
"He is an amazing film artist, one of the most important whoever lived.  ",amaz film artist one import whoever lived,1,Good
I'm glad this pretentious piece of s*** didn't do as planned by the Dodge stratus Big Shots... It's gonna help movie makers who aren't in the very restrained movie business of Québec.  ,glad thi pretenti piec not plan dodg stratu big shots gonna help movi maker not veri restrain movi busi quebec,0,Bad
This if the first movie I've given a 10 to in years.  ,thi first movi given years,1,Good
"If there was ever a movie that needed word-of-mouth to promote, this is it.  ",wa ever movi need wordofmouth promote thi,1,Good
"Overall, the film is interesting and thought-provoking.  ",overall film interest thoughtprovoking,1,Good
"Plus, it was well-paced and suited its relatively short run time.  ",plus wa wellpac suit rel short run time,1,Good
Give this one a look.  ,give thi one look,1,Good
I gave it a 10  ,gave,1,Good
The Wind and the Lion is well written and superbly acted.  ,wind lion well written superbl acted,1,Good
It is a true classic.  ,true classic,1,Good
It actually turned out to be pretty decent as far as B-list horror/suspense films go.  ,actual turn pretti decent far blist horrorsuspens film go,1,Good
Definitely worth checking out.  ,definit worth check,1,Good
The problem was the script.  ,problem wa script,0,Bad
It was horrendous.  ,wa horrendous,0,Bad
There was NOTHING believable about it at all.  ,wa noth believ,0,Bad
The only suspense I was feeling was the frustration at just how retarded the girls were.  ,onli suspens wa feel wa frustrat retard girl,0,Bad
MANNA FROM HEAVEN is a terrific film that is both predictable and unpredictable at the same time.  ,manna heaven terrif film predict unpredict time,1,Good
The scenes are often funny and occasionally touching as the characters evaluate their lives and where they are going.  ,scene often funni occasion touch charact evalu live going,1,Good
The cast of veteran actors are more than just a nostalgia trip.  ,cast veteran actor nostalgia trip,1,Good
Ursula Burton's portrayal of the nun is both touching and funny at the same time with out making fun of nuns or the church.  ,ursula burton portray nun touch funni time make fun nun church,1,Good
"If you are looking for a movie with a terrific cast, some good music(including a Shirley Jones rendition of The Way You Look Tonight), and an uplifting ending, give this one a try.  ",look movi terrif cast good music includ shirley jone rendit way look tonight uplift ending give thi one try,1,Good
I don't think you will be disappointed.  ,not think disappointed,1,Good
"Frankly, after Cotton club and Unfaithful, it was kind of embarrassing to watch Lane and Gere in this film, because it is BAD.  ",frankly cotton club unfaithful wa kind embarrass watch lane gere thi film becaus bad,0,Bad
"The acting was bad, the dialogs were extremely shallow and insincere.  ",act wa bad dialog extrem shallow insincere,0,Bad
"It was too predictable, even for a chick flick.  ",wa predictable even chick flick,0,Bad
Too politically correct.  ,polit correct,0,Bad
Very disappointing.  ,veri disappointing,0,Bad
"The only thing really worth watching was the scenery and the house, because it is beautiful.  ",onli thing realli worth watch wa sceneri house becaus beautiful,1,Good
"I love Lane, but I've never seen her in a movie this lousy.  ",love lane never seen movi thi lousy,0,Bad
An hour and a half I wish I could bring back.  ,hour half wish could bring back,0,Bad
But in terms of the writing it's very fresh and bold.  ,term write veri fresh bold,1,Good
"The acting helps the writing along very well (maybe the idiot-savant sister could have been played better), and it is a real joy to watch.  ",act help write along veri well mayb idiotsav sister could play better real joy watch,1,Good
The directing and the cinematography aren't quite as good.  ,direct cinematographi not quit good,0,Bad
"The movie was so boring, that I sometimes found myself occupied peaking in the paper instead of watching (never happened during a Columbo movie before!  ",movi wa boring sometim found occupi peak paper instead watch never happen dure columbo movi,0,Bad
"), and sometimes it was so embarrassing that I had to look away.  ",sometim wa embarrass look away,0,Bad
The directing seems too pretentious.  ,direct seem pretentious,0,Bad
The scenes with the oh-so-mature neighbour-girl are a misplace.  ,scene ohsomatur neighbourgirl misplace,0,Bad
And generally the lines and plot is weaker than the average episode.  ,gener line plot weaker averag episode,0,Bad
"Then scene where they debated whether or not to sack the trumpeter (who falsely was accused for the murder) is pure horror, really stupid.  ",scene debat whether not sack trumpet fals wa accus murder pure horror realli stupid,0,Bad
Some applause should be given to the prelude however.  ,applaus given prelud however,1,Good
I really liked that.  ,realli like,1,Good
A great film by a great director.  ,great film great director,1,Good
The movie had you on the edge of your seat and made you somewhat afraid to go to your car at the end of the night.  ,movi edg seat made somewhat afraid go car end night,1,Good
The music in the film is really nice too.  ,music film realli nice,1,Good
I'd advise anyone to go and see it.  ,would advis anyon go see,1,Good
Brilliant!  ,brilliant,1,Good
I liked this movie way too much.  ,like thi movi way much,1,Good
My only problem is I thought the actor playing the villain was a low rent Michael Ironside.  ,onli problem thought actor play villain wa low rent michael ironside,0,Bad
It rocked my world and is certainly a must see for anyone with no social or physical outlets.  ,rock world certainli must see anyon no social physic outlets,1,Good
"However, this didn't make up for the fact that overall, this was a tremendously boring movie.  ",however thi not make fact overall thi wa tremend bore movie,0,Bad
"There was NO chemistry between Ben Affleck and Sandra Bullock in this film, and I couldn't understand why he would consider even leaving his wife-to-be for this chick that he supposedly was knocked out by.  ",wa no chemistri ben affleck sandra bullock thi film could not understand whi would consid even leav hi wifetob thi chick supposedli wa knock,0,Bad
There were several moments in the movie that just didn't need to be there and were excruciatingly slow moving.  ,sever moment movi not need excruciatingli slow moving,0,Bad
This was a poor remake of My Best Friends Wedding.  ,thi wa poor remak best friend wedding,0,Bad
"All in all, a great disappointment.  ",great disappointment,0,Bad
I cannot believe that the actors agreed to do this film.  ,cannot believ actor agre thi film,0,Bad
I could not stand to even watch it for very long for fear of losing I.Q.  ,could not stand even watch veri long fear lose q,0,Bad
I guess that nobody at the network that aired this dribble watched it before putting it on.  ,guess nobodi network air thi dribbl watch befor put,0,Bad
